5.0,0,9.63E-04
10.0,0,8.17E-05
15.0,0,2.39E-05
20.0,0,1.04E-05
25.0,0,5.59E-06
30.0,0,3.45E-06
35.0,0,2.31E-06
40.0,0,1.68E-06
5.0,15,8.16E-04
10.0,15,7.64E-05
15.0,15,2.27E-05
20.0,15,9.93E-06
25.0,15,5.33E-06
30.0,15,3.30E-06
35.0,15,2.24E-06
40.0,15,1.63E-06
5.0,30,6.07E-04
10.0,30,7.00E-05
15.0,30,2.09E-05
20.0,30,9.33E-06
25.0,30,4.90E-06
30.0,30,3.00E-06
35.0,30,2.04E-06
40.0,30,1.47E-06
5.0,45,4.46E-04
10.0,45,5.84E-05
15.0,45,1.85E-05
20.0,45,8.06E-06
25.0,45,4.32E-06
30.0,45,2.59E-06
35.0,45,1.72E-06
40.0,45,1.23E-06
5.0,60,3.29E-04
10.0,60,4.77E-05
15.0,60,1.54E-05
20.0,60,6.75E-06
25.0,60,3.52E-06
30.1,60,2.07E-06
35.1,60,1.32E-06
40.1,60,9.08E-07
5.0,75,2.19E-04
10.0,75,4.14E-05
15.0,75,1.28E-05
20.0,75,5.53E-06
25.0,75,2.82E-06
30.0,75,1.55E-06
35.0,75,9.18E-07
40.0,75,5.73E-07
5.0,90,1.92E-04
10.0,90,3.60E-05
15.0,90,1.16E-05
20.0,90,4.93E-06
25.0,90,2.42E-06
30.0,90,1.28E-06
35.0,90,6.79E-07
40.0,90,3.33E-07